vendors,rDocNumber,rOperationCode,INV.no Check,Inv. Date Check,ExcludeVAT_diff,VAT_diff,IncludeVAT_diff
President,030645066001386,110306,N/A,True,0.32,-0.32,0.0
President,030645066001397,110306,N/A,True,-0.32,0.32,0.0
President,033845066001968,110338,N/A,True,-1.72,1.72,0.0
President,051745066001141,110517,N/A,True,-1.26,1.26,0.0
President,051745066001147,110517,N/A,True,-0.93,0.93,0.0
President,051845066001705,110518,N/A,True,0.16,-0.16,0.0
President,051845066001712,110518,N/A,True,0.48,-0.48,0.0
President,056145066002359,110561,N/A,True,0.11,-0.11,0.0
President,056145066002369,110561,N/A,True,-0.21,0.21,0.0
President,056745066003444,110567,N/A,True,0.7,-0.7,0.0
President,056745066003446,110567,N/A,True,0.11,-0.11,0.0
President,056745066003461,110567,N/A,True,0.43,-0.43,0.0
President,057645066001479,110576,N/A,True,-2.2,2.2,0.0
President,057645066001484,110576,N/A,True,0.11,-0.11,0.0
President,064145066002404,110641,N/A,True,0.11,-0.11,0.0
President,064145066002412,110641,N/A,True,0.16,-0.16,0.0
President,067845066002280,110678,N/A,True,-1.4,1.4,0.0
President,069845066003134,110698,N/A,True,-1.07,1.07,0.0
President,069845066003150,110698,N/A,True,-0.92,0.92,0.0
President,070445066002637,110704,N/A,True,0.32,-0.32,0.0
President,070645066001759,110706,N/A,True,-0.59,0.59,0.0
President,075445066002342,110754,N/A,True,0.38,-0.38,0.0
President,076845066001683,110768,N/A,True,0.37,-0.37,0.0
President,077645066001763,110776,N/A,True,0.01,-0.01,0.0
President,077845066002310,110778,N/A,True,0.38,-0.38,0.0
President,077845066002326,110778,N/A,True,0.33,-0.33,0.0
President,084345066002188,110843,N/A,True,0.16,-0.16,0.0
President,100845066002816,111008,N/A,True,0.96,-0.96,0.0
President,102045066002550,111020,N/A,True,0.32,-0.32,0.0
President,102045066002567,111020,N/A,True,0.43,-0.43,0.0
President,102145066001956,111021,N/A,True,1.13,-1.13,0.0
President,110145066002081,111101,N/A,True,0.05,-0.05,0.0
President,121945066002270,111219,N/A,True,-0.02,0.02,0.0
President,122445066001490,111224,N/A,True,0.1,-0.1,0.0
President,129745066002982,111297,N/A,True,0.49,-0.49,0.0
President,131945066001709,111319,N/A,True,0.48,-0.48,0.0
President,133045066002188,111330,N/A,True,-1.6,1.6,0.0
President,133445066001488,111334,N/A,True,0.32,-0.32,0.0
President,133545066001408,111335,N/A,True,0.11,-0.11,0.0
President,134045066002101,111340,N/A,True,0.58,-0.58,0.0
President,134945066002969,111349,N/A,True,-0.08,0.08,0.0
President,135545066002541,111355,N/A,True,0.11,-0.11,0.0
President,136945066001417,111369,N/A,True,-0.14,0.14,0.0
President,136945066001424,111369,N/A,True,-0.24,0.24,0.0
President,137845066002353,111378,N/A,True,-0.48,0.48,0.0
President,138045066001701,111380,N/A,True,0.96,-0.96,0.0
President,138445066002082,111384,N/A,True,0.11,-0.11,0.0
President,138445066002095,111384,N/A,True,0.06,-0.06,0.0
President,139045066002682,111390,N/A,True,0.43,-0.43,0.0
President,139045066002702,111390,N/A,True,0.59,-0.59,0.0
President,157045066002475,111570,N/A,True,0.49,-0.49,0.0
President,157045066002488,111570,N/A,True,0.11,-0.11,0.0
President,163045066001752,111630,N/A,True,0.11,-0.11,0.0
President,164845066001835,111648,N/A,True,0.38,-0.38,0.0
President,164845066001846,111648,N/A,True,0.53,-0.53,0.0
President,166345066002181,111663,N/A,True,0.05,-0.05,0.0
President,166345066002191,111663,N/A,True,0.16,-0.16,0.0
President,168845066002290,111688,N/A,True,0.43,-0.43,0.0
